phone model,phone price,phone image
"Honor X6b - 6.5"" 256GB/6GB Dual SIM 4G Mobile Phone - Forest Green","6,444.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
OPPO A3 - 6.6 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Starlight White,"8,299.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
OPPO A3x - هاتف محمول 6.6 بوصة 128 جيجا بايت/4 جيجا بايت ثنائي الشريحة 4G - أحمر نيبولا,"6,750.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Motorola G35 موبايل مزدوج الشريحة 5G 256  جيجابايت / 8 جيجابايت - أخضر,"7,890.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Honor X9c Smart -6.8 Inch 256GB/12GB Dual SIM 5G Mobile Phone - Moonlight White,"14,450.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Motorola G75 موبايل مزدوج الشريحة 5G 256 جيجابايت / 8 جيجابايت - أزرق أكوا,"11,934.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Samsung A06 - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Black,"6,159.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nokia 6310 (الإصدار الأحدث) – تصميم كلاسيكي مع أداء موثوق,"1,099.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Infinix Smart 9 - 6.7 Inch 128GB/4GB Dual SIM 4G Mobile Phone - Mint Green,"4,777.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"Honor X6b - 6.5"" 128GB/6GB Dual SIM 4G Mobile Phone - Starry Purple","5,888.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Infinix Hot 50i - 6.7 Inch 128GB/6GB Dual SIM 4G Mobile Phone - Sleek Black,"5,333.00 جنيه","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
